customer_id,Age,Gender,SubscriptionType,MonthlyUsageHours,NumTransactions,Complaints,Churn
100156,51,Female,Premium,40,42,6,0
101988,40,Female,Gold,118,23,7,0
101061,44,Male,Basic,165,47,6,0
102488,39,Female,Premium,154,23,6,0
100028,30,Male,Premium,165,49,3,1
101683,34,Female,Gold,127,33,6,1
100522,39,Male,Gold,142,12,9,1
103835,30,Male,Gold,56,48,7,0
104021,35,Female,Basic,189,34,5,0
104554,23,Male,Gold,127,43,8,0
101482,28,Male,Basic,43,45,4,0
100757,26,Male,Basic,195,20,7,1
104516,50,Male,Premium,122,35,6,0
100784,46,Male,Premium,67,48,8,0
102279,43,Male,Basic,15,5,8,0
102339,44,Male,Basic,168,34,10,0
104012,42,Male,Premium,163,43,5,0
100560,59,Female,Gold,134,45,3,0
104577,70,Male,Gold,113,30,9,0
103768,22,Male,Premium,127,47,6,1
102572,53,Female,Gold,70,29,6,0
101761,54,Female,Basic,159,8,5,0
104780,56,Female,Premium,110,32,1,0
101982,41,Female,Premium,13,34,2,0
102170,63,Female,Gold,63,29,0,1
104788,66,Male,Premium,118,29,6,0
102474,66,Female,Basic,129,27,7,0
103531,26,Female,Premium,89,8,5,0
103750,34,Female,Premium,117,18,2,1
102642,54,Female,Gold,194,16,7,0
102002,18,Male,Premium,62,34,9,0
104870,40,Male,Gold,89,15,10,1
100027,24,Male,Premium,25,48,1,0
100469,30,Female,Premium,62,24,6,0
102874,51,Male,Gold,27,18,3,0
100771,52,Male,Premium,60,41,6,0
102369,29,Female,Gold,133,1,4,0
104289,35,Female,Premium,15,30,5,0
103095,64,Female,Basic,174,34,7,1
104934,22,Female,Premium,59,29,6,0
102068,68,Female,Basic,121,39,9,0
101494,39,Male,Gold,85,13,3,1
104583,25,Female,Basic,19,6,3,0
100573,69,Female,Premium,62,3,10,1
104989,67,Female,Gold,174,11,1,0
103947,45,Male,Premium,70,14,2,0
102070,45,Female,Premium,70,39,10,1
102095,66,Female,Premium,6,11,8,0
103214,29,Female,Gold,45,29,0,0
104132,51,Male,Gold,53,25,10,0
104508,55,Female,Basic,29,11,8,1
104427,41,Female,Gold,192,39,7,1
100196,56,Female,Premium,122,21,8,1
101417,53,Male,Basic,13,35,6,1
103310,19,Female,Basic,189,45,7,0
103415,35,Female,Premium,57,2,3,0
103574,30,Male,Basic,94,7,9,1
101085,59,Female,Basic,99,11,3,1
104734,39,Female,Gold,71,44,5,1
102020,58,Female,Basic,59,31,7,1
100233,37,Male,Gold,28,46,7,1
100237,36,Female,Premium,143,40,2,0
101816,27,Female,Gold,122,9,2,0
104100,70,Male,Gold,104,38,8,1
104108,18,Female,Gold,188,24,5,0
101266,65,Female,Basic,79,11,5,0
101449,36,Female,Premium,31,47,4,0
104743,40,Female,Basic,104,40,9,1
100304,19,Male,Basic,132,11,3,1
100628,50,Female,Gold,184,46,1,1
104371,39,Male,Basic,38,33,10,0
100622,42,Male,Premium,148,30,0,0
104969,41,Male,Basic,145,43,6,0
101531,21,Female,Gold,87,26,5,0
101137,46,Male,Basic,157,29,0,1
102766,62,Female,Premium,190,31,4,0
101384,47,Male,Gold,151,45,0,0
103801,33,Male,Premium,169,13,6,0
100019,68,Female,Premium,57,34,3,0
104105,28,Female,Gold,77,50,9,0
102852,62,Male,Premium,96,26,10,0
104648,23,Male,Gold,137,42,5,1
104040,61,Female,Gold,125,25,8,0
101343,66,Male,Premium,59,14,2,0
104394,44,Female,Premium,86,16,7,0
101075,22,Male,Premium,67,30,1,0
101343,66,Male,Premium,59,14,2,0
104822,50,Male,Gold,73,39,8,0
103325,68,Female,Gold,20,49,1,0
102067,52,Male,Basic,168,23,2,0
101374,29,Male,Premium,180,21,2,0
102477,39,Female,Premium,90,33,7,0
102529,38,Female,Basic,40,50,8,1
100737,29,Male,Premium,78,50,5,0
100885,58,Male,Basic,122,13,6,0
100169,18,Female,Premium,32,12,6,0
104359,27,Female,Gold,105,43,8,1
100685,29,Male,Premium,43,50,1,0
103770,65,Female,Gold,183,46,9,0
100993,26,Female,Gold,30,50,8,0
102680,53,Male,Basic,124,44,3,0
100710,38,Male,Basic,48,4,5,1
101678,51,Female,Basic,13,39,9,1
103684,51,Male,Premium,169,20,4,1
101492,28,Male,Basic,40,23,1,0
101246,31,Female,Gold,5,50,8,0
100119,63,Male,Premium,139,28,2,0
104629,28,Female,Premium,26,49,8,1
100186,47,Male,Gold,7,47,5,1
103556,37,Male,Basic,151,34,0,1
100465,67,Female,Premium,124,4,9,0
102581,49,Female,Basic,58,37,10,0
104279,70,Male,Premium,7,33,0,0
104343,26,Male,Gold,48,26,4,0
101390,18,Female,Basic,133,15,6,1
101741,63,Male,Premium,95,28,0,1
102956,25,Female,Gold,28,15,0,1
104379,69,Male,Premium,121,19,6,0
102606,34,Male,Basic,16,25,8,0
104427,41,Female,Gold,192,39,7,1
103260,67,Male,Basic,25,18,9,0
102477,39,Female,Premium,90,33,7,0
104364,66,Male,Premium,112,30,10,0
104315,52,Female,Basic,112,46,2,0
104436,66,Male,Premium,110,45,3,1
101846,63,Female,Gold,123,50,8,0
104716,64,Male,Premium,158,40,0,0
104465,56,Female,Basic,71,20,8,0
100675,58,Male,Gold,74,17,9,1
103729,59,Male,Gold,111,5,1,0
102350,22,Male,Gold,99,4,6,1
104084,47,Female,Premium,144,43,8,0
101965,44,Female,Gold,107,40,4,1
102519,35,Male,Premium,125,42,3,0
104403,51,Female,Basic,120,40,7,1
104996,19,Female,Basic,15,7,3,0
104714,21,Female,Premium,170,6,8,0
101258,22,Male,Premium,61,7,2,0
100693,69,Male,Premium,65,11,4,1
104881,50,Male,Premium,41,14,6,0
104412,35,Female,Gold,149,17,4,0
103929,67,Male,Basic,132,44,9,0
104562,67,Male,Gold,166,36,10,0
102975,31,Female,Gold,163,39,10,0
102260,63,Female,Premium,113,22,9,0
101949,62,Female,Basic,58,28,5,0
104930,59,Female,Premium,126,19,3,0
104941,70,Male,Basic,114,17,0,1
102509,29,Female,Gold,34,7,5,0
102229,38,Male,Gold,35,40,8,1
104536,49,Male,Basic,115,32,8,0
101952,46,Male,Premium,152,41,3,0
101641,44,Male,Premium,144,4,0,0
104012,42,Male,Premium,163,43,5,0
103898,27,Male,Basic,118,5,10,0
102300,38,Male,Basic,48,33,5,1
104879,62,Male,Basic,118,32,2,0
100875,68,Female,Basic,57,22,5,0
101495,26,Female,Premium,194,28,9,1
102821,52,Male,Premium,128,38,5,1
102564,38,Male,Basic,84,50,4,0
101930,62,Female,Premium,99,50,8,0
100719,37,Female,Premium,168,41,5,0
100952,51,Male,Premium,119,13,10,0
101407,39,Female,Premium,112,35,0,0
101436,24,Female,Basic,104,11,5,1
103582,31,Male,Basic,179,15,6,1
103585,49,Female,Premium,88,48,1,1
100726,28,Male,Premium,18,28,8,0
104095,52,Male,Basic,150,33,10,0
102802,24,Female,Gold,122,42,4,0
100262,47,Male,Gold,15,13,8,0
100964,60,Female,Gold,32,4,8,1
104803,47,Female,Gold,159,46,7,0
103139,41,Female,Premium,102,18,2,0
102315,51,Female,Premium,121,42,9,0
101479,63,Female,Gold,168,22,5,0
104581,61,Male,Gold,85,6,5,0
104399,21,Female,Basic,62,7,4,0
103847,41,Female,Basic,183,37,2,1
104909,18,Female,Gold,96,17,5,0
101019,45,Male,Gold,40,20,9,0
101218,63,Female,Gold,175,31,10,0
101163,29,Male,Premium,187,25,2,0
100013,47,Female,Gold,121,40,3,0
101406,48,Male,Gold,90,31,1,0
101590,47,Male,Premium,20,49,4,0
104121,58,Female,Gold,74,26,4,0
105000,57,Male,Basic,151,7,7,1
103400,33,Female,Gold,146,37,8,0
103411,32,Female,Gold,124,48,5,0
100741,58,Female,Gold,160,27,8,0
100719,37,Female,Premium,168,41,5,0
103823,25,Female,Premium,188,41,7,0
100247,67,Male,Premium,168,27,5,1
101776,66,Female,Gold,43,22,1,0
102154,49,Female,Basic,160,38,5,1
101425,69,Male,Basic,190,2,0,1
103457,67,Female,Gold,179,35,10,0
100972,22,Male,Gold,149,3,10,0
101256,37,Male,Gold,141,28,6,0
102406,58,Male,Gold,168,1,0,1
101648,36,Male,Basic,188,12,10,0
101308,61,Female,Basic,188,26,4,0
102437,51,Female,Premium,171,14,5,0
104458,18,Male,Gold,44,46,10,0
104924,46,Male,Premium,60,29,8,0
100643,63,Female,Gold,167,44,10,0
102707,32,Female,Basic,25,19,8,0
101031,63,Female,Premium,66,41,7,0
103145,38,Female,Premium,6,45,6,0
104254,57,Male,Basic,178,23,0,0
101845,32,Male,Basic,19,45,6,0
104521,40,Male,Basic,153,39,4,0
102461,54,Female,Basic,53,23,4,1
104200,50,Female,Premium,79,40,3,0
101588,50,Female,Gold,145,17,6,0
100765,56,Male,Premium,86,27,9,0
104667,25,Male,Gold,127,3,6,0
102500,69,Female,Basic,59,43,0,0
104251,70,Male,Basic,61,28,7,0
101353,36,Female,Basic,76,45,0,1
104615,41,Female,Premium,68,18,6,1
100810,45,Male,Premium,5,48,3,0
102138,30,Male,Gold,12,6,9,0
103336,52,Female,Gold,132,9,7,0
102582,40,Male,Gold,37,45,0,0
103342,40,Male,Basic,51,5,0,1
103900,47,Female,Gold,30,42,8,0
102886,35,Female,Premium,148,36,5,1
102734,55,Male,Premium,192,5,7,0
104002,31,Female,Basic,156,37,9,0
100566,22,Male,Gold,158,8,2,0
102256,18,Male,Gold,86,30,7,0
103183,31,Female,Basic,96,36,9,1
101316,18,Female,Basic,148,9,0,1
104721,70,Female,Gold,24,9,6,1
103506,28,Male,Basic,197,32,0,1
103599,60,Female,Premium,80,33,8,0
100040,19,Male,Gold,194,7,2,0
100633,62,Female,Premium,61,21,2,0
101141,25,Male,Gold,108,30,7,0
103299,26,Male,Premium,194,24,0,0
102414,68,Male,Gold,153,21,7,0
104398,18,Female,Basic,5,16,1,1
101760,65,Male,Basic,195,45,1,1
103254,69,Male,Basic,123,2,4,1
102665,59,Male,Gold,66,26,5,0
103629,48,Male,Premium,6,2,9,1
103037,45,Female,Gold,130,34,6,0
102975,31,Female,Gold,163,39,10,0
104379,69,Male,Premium,121,19,6,0
103775,30,Female,Basic,113,45,3,0
101631,67,Female,Premium,157,4,8,0
104872,62,Female,Gold,193,20,7,1
103127,49,Male,Basic,156,28,2,0
101067,55,Female,Premium,142,45,5,1
102304,26,Female,Gold,91,33,5,1
100441,18,Male,Gold,12,3,0,0
101269,55,Female,Premium,139,43,1,0
103267,54,Male,Basic,63,4,7,1
102531,64,Male,Gold,118,36,9,1
101626,47,Male,Gold,162,29,1,1
103224,36,Male,Premium,46,40,7,0
104044,52,Female,Premium,141,15,0,0
101530,35,Female,Gold,84,12,5,0
101673,29,Female,Premium,9,10,7,0
102037,47,Male,Premium,63,18,8,1
100771,52,Male,Premium,60,41,6,0
102116,49,Female,Basic,197,30,9,0
100313,39,Female,Basic,72,4,0,1
100328,49,Male,Basic,119,21,10,0
104037,61,Female,Basic,161,9,1,0
100011,26,Male,Premium,79,3,9,0
100640,61,Female,Gold,146,15,8,0
100300,68,Male,Premium,103,48,0,0
101702,37,Male,Gold,188,18,2,0
100809,29,Male,Premium,114,43,2,0
102391,39,Male,Premium,156,18,0,1
102960,61,Male,Premium,151,6,2,0
102683,62,Female,Basic,69,28,6,0
101895,51,Male,Gold,178,44,2,0
102165,34,Male,Premium,30,22,5,0
102565,58,Female,Basic,11,48,4,0
102934,48,Male,Premium,41,16,7,0
103268,62,Female,Premium,132,38,7,1
101563,59,Male,Basic,120,36,10,1
104588,22,Male,Basic,200,24,0,1
104317,70,Male,Premium,33,24,9,0
103388,51,Female,Gold,174,39,5,0
100418,25,Female,Premium,102,12,9,0
100135,19,Male,Basic,135,37,10,1
104567,23,Male,Premium,10,15,7,0
100768,54,Male,Gold,157,15,9,0
101529,40,Male,Basic,66,25,8,0
102133,42,Male,Gold,98,27,6,1
102302,47,Male,Basic,47,7,4,1
101838,18,Male,Gold,30,25,2,1
103154,21,Female,Basic,183,32,4,0
102023,21,Male,Gold,140,40,3,0
101909,60,Male,Gold,157,23,6,0
100828,45,Female,Basic,127,49,0,0
103671,69,Male,Premium,79,26,2,1
100475,54,Female,Premium,131,28,6,0
103278,70,Female,Basic,158,24,5,0
101796,65,Female,Basic,167,14,7,0
101796,65,Female,Basic,167,14,7,0
104152,44,Male,Basic,157,3,0,1
104806,59,Female,Gold,96,9,8,0
104719,38,Male,Gold,43,30,1,0
100462,48,Female,Gold,162,37,4,0
104547,61,Male,Gold,131,37,0,0
100367,30,Male,Gold,192,26,2,0
103043,65,Male,Premium,104,43,1,0
100107,49,Female,Basic,140,40,7,1
103193,19,Male,Premium,70,44,1,0
103144,67,Male,Premium,9,19,5,0
102337,59,Male,Premium,148,23,3,1
104684,39,Female,Premium,28,14,5,0
101876,62,Male,Gold,166,49,1,0
103622,19,Female,Gold,6,3,3,1
100202,23,Male,Premium,190,22,10,0
102609,32,Female,Gold,100,46,10,0
102915,46,Female,Gold,125,26,2,0
102931,34,Female,Basic,142,26,9,0
104507,34,Male,Premium,105,29,1,0
100206,36,Female,Premium,134,15,4,0
103152,32,Male,Gold,148,5,4,0
101259,18,Male,Premium,121,2,3,0
104564,37,Female,Basic,77,45,3,0
103589,69,Female,Gold,72,29,6,0
101368,62,Female,Gold,148,23,2,1
102054,39,Female,Basic,152,11,1,0
103348,69,Female,Gold,121,20,8,1
102835,43,Male,Gold,43,6,2,0
100896,38,Male,Premium,159,47,4,0
103457,67,Female,Gold,179,35,10,0
101919,40,Male,Basic,134,39,1,0
102885,58,Male,Premium,190,26,8,0
101461,40,Male,Premium,194,35,2,0
100790,24,Female,Gold,102,3,7,0
104674,34,Male,Premium,88,42,9,1
102054,39,Female,Basic,152,11,1,0
102482,33,Female,Gold,106,14,2,0
101054,55,Female,Premium,42,41,9,1
103944,56,Female,Gold,127,38,4,0
104833,22,Male,Gold,79,23,5,0
104311,53,Female,Premium,122,45,6,1
102144,68,Female,Gold,32,25,3,0
101115,59,Female,Basic,127,26,9,0
100300,68,Male,Premium,103,48,0,0
101143,63,Female,Gold,183,16,8,0
102582,40,Male,Gold,37,45,0,0
100746,38,Male,Basic,168,31,6,1
102151,27,Male,Premium,124,28,3,0
102773,49,Male,Basic,142,34,3,0
101707,63,Female,Basic,199,24,8,1
104154,56,Male,Premium,115,39,3,0
103052,67,Female,Basic,35,50,0,0
101841,61,Male,Gold,8,47,8,0
101017,43,Female,Premium,35,37,9,0
100024,36,Female,Gold,134,48,5,0
101464,50,Female,Basic,68,44,9,0
101488,52,Female,Basic,154,42,8,1
102028,37,Female,Gold,55,4,0,0
103609,55,Female,Basic,55,47,7,0
103934,58,Female,Gold,103,3,5,0
100015,39,Female,Basic,108,42,10,0
102430,68,Male,Premium,11,44,2,1
101378,63,Female,Gold,165,31,2,0
100263,61,Female,Basic,189,49,6,1
102739,39,Female,Premium,164,3,0,0
104365,60,Female,Basic,145,19,0,0
104114,54,Male,Basic,141,10,7,0
104328,60,Male,Gold,145,50,6,1
100383,55,Male,Gold,36,22,0,0
101844,45,Female,Gold,43,10,5,0
102087,68,Female,Premium,30,13,10,0
102195,22,Female,Gold,84,35,6,0
102144,68,Female,Gold,32,25,3,0
101850,46,Female,Gold,120,13,4,0
104508,55,Female,Basic,29,11,8,1
100541,34,Female,Basic,37,6,2,0
101591,42,Female,Basic,174,41,8,1
104594,23,Male,Basic,167,11,9,1
102497,47,Male,Gold,194,32,9,1
102011,30,Male,Gold,18,43,6,0
101248,58,Female,Basic,186,31,10,0
102482,33,Female,Gold,106,14,2,0
102296,38,Female,Gold,16,34,2,0
104308,22,Female,Basic,23,50,1,0
100349,40,Female,Gold,39,17,7,0
100538,33,Female,Gold,182,17,9,0
104023,43,Male,Premium,158,18,6,0
100635,29,Female,Premium,113,21,5,0
104827,18,Female,Gold,65,12,7,0
103771,41,Male,Premium,135,11,7,1
104978,19,Male,Gold,89,29,0,1
104335,70,Female,Gold,43,41,0,0
104212,70,Male,Gold,128,38,0,0
103625,44,Male,Premium,135,44,3,1
104998,66,Male,Gold,51,23,7,1
100469,30,Female,Premium,62,24,6,0
102393,33,Female,Basic,158,38,7,0
101261,49,Male,Premium,173,24,6,0
100279,51,Male,Premium,41,36,1,0
101759,56,Female,Gold,104,3,9,0
101517,31,Male,Basic,23,49,3,0
104371,39,Male,Basic,38,33,10,0
101818,18,Female,Premium,26,32,6,0
102268,55,Female,Basic,80,16,1,0
103362,28,Male,Gold,102,15,5,1
102408,59,Male,Basic,73,29,8,0
102160,58,Male,Premium,118,30,8,0
100324,26,Female,Premium,132,27,1,0
100080,58,Female,Gold,150,48,6,1
102890,54,Male,Basic,9,40,1,1
104634,67,Female,Gold,188,47,9,1
102692,61,Male,Gold,195,13,3,0
101142,33,Female,Basic,108,23,5,1
102057,38,Female,Basic,112,42,9,0
102742,33,Male,Premium,91,17,10,0
103562,64,Male,Basic,5,16,0,0
100097,23,Female,Premium,45,45,0,0
103932,59,Female,Premium,106,11,8,0
103646,51,Male,Premium,25,46,5,0
100641,19,Male,Gold,126,9,4,1
104656,34,Male,Gold,160,5,1,0
104315,52,Female,Basic,112,46,2,0
101406,48,Male,Gold,90,31,1,0
100401,66,Female,Premium,54,23,7,0
104177,36,Female,Gold,185,35,2,0
100514,28,Male,Gold,37,20,3,0
104198,31,Male,Basic,55,38,0,0
103659,19,Female,Gold,112,16,0,0
102406,58,Male,Gold,168,1,0,1
103632,36,Female,Gold,16,31,9,1
103669,54,Male,Gold,27,27,5,1
101027,25,Female,Premium,122,32,2,0
100383,55,Male,Gold,36,22,0,0
101844,45,Female,Gold,43,10,5,0
104942,49,Male,Basic,181,15,0,0
102713,64,Male,Gold,21,36,3,1
102511,34,Male,Gold,96,34,2,0
104419,20,Male,Basic,183,25,0,1
104733,63,Male,Gold,154,6,3,1
102502,65,Female,Gold,16,41,0,0
101502,39,Female,Basic,133,15,3,0
102979,30,Female,Basic,180,16,10,1
104690,31,Male,Gold,66,16,3,0
103811,53,Male,Premium,68,7,9,1
102345,49,Male,Basic,136,7,0,1
103393,50,Female,Gold,67,45,5,0
101920,28,Male,Gold,92,23,9,1
100287,37,Male,Premium,156,21,7,0
101866,43,Female,Basic,88,22,7,1
100496,36,Female,Premium,97,22,10,0
104335,70,Female,Gold,43,41,0,0
104114,54,Male,Basic,141,10,7,0
101462,44,Male,Basic,126,5,9,1
101539,25,Female,Basic,147,16,3,1
103257,36,Male,Basic,67,17,1,0
102607,26,Male,Basic,36,26,4,1
101511,52,Male,Basic,112,34,7,1
101091,26,Male,Premium,82,17,10,1
101858,56,Male,Gold,85,46,9,0
102767,55,Female,Basic,9,1,6,0
101745,39,Female,Premium,84,6,7,0
101703,62,Male,Gold,71,4,2,1
103916,63,Female,Gold,192,50,10,0
104045,21,Female,Premium,159,8,5,0
103086,62,Female,Gold,11,24,9,0
103427,62,Female,Basic,173,27,8,1
102529,38,Female,Basic,40,50,8,1
104528,21,Male,Basic,166,10,8,1
103357,26,Female,Gold,119,23,10,0
104321,55,Male,Basic,21,9,2,1
103531,26,Female,Premium,89,8,5,0
103562,64,Male,Basic,5,16,0,0
101080,68,Female,Premium,147,48,10,0
102488,39,Female,Premium,154,23,6,0
101192,24,Male,Premium,99,20,10,1
102735,48,Male,Premium,91,23,0,1
104887,25,Female,Gold,154,31,9,0
100319,28,Female,Basic,132,14,6,0
103354,19,Male,Gold,141,14,5,1
100745,65,Female,Gold,96,12,0,1
101599,63,Female,Premium,17,33,8,1
104676,46,Female,Gold,139,9,9,1
103462,41,Female,Gold,178,2,7,0
100638,19,Female,Premium,190,40,0,0
104765,32,Male,Gold,32,11,1,1
104656,34,Male,Gold,160,5,1,0
101038,50,Male,Premium,177,22,8,1
104159,52,Male,Premium,120,11,4,0
103533,22,Male,Gold,196,49,6,1
102734,55,Male,Premium,192,5,7,0
102298,35,Male,Basic,52,38,8,1
102993,51,Male,Premium,165,28,0,0
100706,29,Male,Basic,170,28,9,1
100040,19,Male,Gold,194,7,2,0
103145,38,Female,Premium,6,45,6,0
101699,23,Female,Basic,102,31,0,1
100911,59,Male,Gold,74,26,0,0
100237,36,Female,Premium,143,40,2,0
101839,58,Female,Gold,178,20,10,1
101749,33,Female,Premium,63,13,0,1
102554,53,Female,Premium,53,17,8,0
100786,36,Female,Gold,63,1,6,0
104082,69,Female,Basic,25,28,3,1
100088,61,Female,Gold,194,40,8,1
100836,58,Female,Gold,116,29,7,0
104772,68,Male,Basic,141,46,1,0
103483,22,Male,Gold,80,33,9,0
101544,47,Male,Basic,51,32,0,0
100089,37,Male,Basic,44,36,10,0
104278,64,Male,Gold,145,3,7,0
104620,59,Female,Basic,47,8,6,1
101406,48,Male,Gold,90,31,1,0
103142,53,Male,Premium,78,36,7,1
102392,19,Male,Basic,53,17,5,1
101304,57,Male,Premium,5,41,9,1
101415,48,Male,Basic,119,13,7,0
101716,35,Male,Premium,191,31,4,0
102638,27,Female,Basic,103,49,6,1
102204,41,Male,Premium,100,48,1,1
104412,35,Female,Gold,149,17,4,0
104949,38,Male,Gold,65,25,1,1
104242,68,Male,Gold,99,49,7,0
101017,43,Female,Premium,35,37,9,0
100126,29,Male,Basic,66,8,6,1
103676,37,Female,Gold,104,8,0,0
101988,40,Female,Gold,118,23,7,0
103311,64,Female,Gold,27,1,6,0
102411,53,Female,Basic,112,1,9,0
102071,18,Female,Premium,83,21,2,0
103902,45,Female,Basic,75,10,4,0
100345,61,Male,Premium,65,22,9,0
100019,68,Female,Premium,57,34,3,0
102096,36,Female,Premium,123,20,5,0
104386,39,Male,Premium,94,25,3,1
100811,50,Male,Premium,55,44,0,1
100759,29,Female,Basic,165,10,4,0
104192,65,Male,Gold,16,49,2,0
103547,60,Male,Premium,55,42,10,0
100235,26,Male,Premium,120,29,9,0
102381,36,Male,Gold,141,11,6,0
101759,56,Female,Gold,104,3,9,0
103313,66,Male,Premium,132,47,8,0
104775,31,Male,Gold,133,37,4,0
101639,24,Female,Basic,92,39,5,0
101899,25,Male,Premium,196,40,8,0
103040,45,Female,Premium,133,3,10,0
100391,45,Male,Basic,21,20,9,1
101910,29,Male,Basic,21,32,3,1
103306,63,Female,Basic,179,20,7,1
100226,56,Male,Premium,164,15,4,0
102444,42,Female,Premium,106,50,10,0
104828,28,Female,Basic,182,35,10,0
102975,31,Female,Gold,163,39,10,0
103734,54,Female,Gold,63,41,5,1
100988,51,Male,Gold,46,35,3,1
100771,52,Male,Premium,60,41,6,0
100760,70,Male,Basic,161,19,6,1
100141,40,Female,Gold,141,9,3,0
104450,61,Female,Gold,126,36,3,1
100290,23,Male,Premium,165,25,10,1
103841,35,Female,Basic,165,1,4,0
101416,25,Female,Basic,18,20,2,1
100918,41,Male,Premium,181,50,6,0
103350,24,Female,Premium,50,28,10,0
104072,70,Female,Premium,105,5,0,0
100082,48,Male,Premium,166,32,0,1
103094,48,Female,Basic,153,43,0,0
102733,22,Male,Basic,149,3,2,0
100480,68,Female,Gold,126,10,6,0
103665,35,Female,Basic,176,16,0,0
104526,20,Female,Premium,36,25,1,0
102883,62,Male,Premium,140,11,10,1
104433,62,Female,Basic,153,34,2,0
100705,66,Female,Premium,165,38,3,0
104797,62,Female,Gold,115,10,2,0
100896,38,Male,Premium,159,47,4,0
100839,65,Female,Gold,89,48,10,0
101560,22,Female,Gold,76,29,8,1
100229,23,Female,Premium,188,50,5,0
104295,49,Male,Gold,72,47,2,1
100370,18,Male,Gold,164,13,3,0
104185,53,Female,Gold,157,15,6,0
104171,60,Female,Gold,20,2,0,0
100412,69,Female,Premium,12,15,9,0
101325,38,Male,Gold,117,36,4,0
102080,22,Female,Premium,16,50,8,0
101419,50,Male,Gold,198,9,5,0
104324,47,Male,Basic,84,23,0,1
100880,27,Female,Gold,115,8,4,0
104101,56,Female,Premium,35,2,1,0
104326,50,Female,Basic,166,13,9,0
101664,45,Male,Basic,121,22,0,0
103003,42,Female,Basic,107,13,3,1
103871,52,Female,Basic,191,9,3,1
104384,54,Female,Gold,107,34,3,1
102036,36,Female,Premium,109,15,8,0
102233,31,Male,Basic,73,49,3,0
103281,39,Female,Premium,193,18,7,1
101412,29,Female,Gold,63,23,0,1
101463,21,Female,Premium,50,27,8,1
100211,51,Male,Basic,188,24,8,1
103304,19,Female,Premium,45,45,8,0
104972,59,Male,Premium,120,28,5,0
101245,20,Male,Premium,61,47,4,0
